retriever,corpus_version,base_vignette_id,demographic_variant_id,difficulty_tier,gold_checklist_id,primary_distractor_id,selected_checklist_id,rank1_score,rank2_score,rank3_score,top3_ids,rank1_minus_rank2_margin,retrieval_correct
all-mpnet-base-v2,v3,A1.1,WHI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ECZEMA-INFECT,0.564781,0.545921,0.533796,GC-ECZEMA-INFECT|GC-ANA|GC-FPIES,0.01886,PARTIAL
all-mpnet-base-v2,v3,A1.1,BLA_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ECZEMA-INFECT,0.561978,0.544475,0.54,GC-ECZEMA-INFECT|GC-ANA|GC-FPIES,0.017503,PARTIAL
all-mpnet-base-v2,v3,A3.3,WHI_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-PCN-DELABEL,0.582553,0.546394,0.49307,GC-PCN-DELABEL|GC-SCAR|GC-DRUG-IMMEDIATE,0.036159,PARTIAL
all-mpnet-base-v2,v3,A3.3,BLA_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-PCN-DELABEL,0.564227,0.545808,0.485362,GC-PCN-DELABEL|GC-SCAR|GC-DRUG-IMMEDIATE,0.018419,PARTIAL
all-mpnet-base-v2,v3,A6.E,WHI_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-ANA,0.596274,0.564058,0.555448,GC-ANA|GC-IMMUNE-DYSREG|GC-ECZEMA-INFECT,0.032216,N
all-mpnet-base-v2,v3,A6.E,BLA_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-ANA,0.588889,0.549331,0.54711,GC-ANA|GC-IMMUNE-DYSREG|GC-ECZEMA-INFECT,0.039559,N
all-mpnet-base-v2,v3,B2.3,WHI_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-SCID,0.493111,0.430676,0.39513,GC-SCID|GC-AB-DEF|GC-IMMUNIZE-ROUTINE,0.062434,Y
all-mpnet-base-v2,v3,B2.3,BLA_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-SCID,0.499675,0.418233,0.393119,GC-SCID|GC-AB-DEF|GC-IMMUNIZE-ROUTINE,0.081442,Y
all-mpnet-base-v2,v3,B4.2,WHI_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.735149,0.579171,0.545199,GC-COMP-CLASSICAL|GC-CGD|GC-COMP-TERMINAL,0.155978,Y
all-mpnet-base-v2,v3,B4.2,BLA_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.728222,0.574737,0.543221,GC-COMP-CLASSICAL|GC-CGD|GC-COMP-TERMINAL,0.153485,Y
all-mpnet-base-v2,v3,B4.E,WHI_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.580348,0.450334,0.450173,GC-COMP-TERMINAL|GC-CGD|GC-AB-DEF,0.130014,Y
all-mpnet-base-v2,v3,B4.E,BLA_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.579231,0.446562,0.433888,GC-COMP-TERMINAL|GC-CGD|GC-AB-DEF,0.132668,Y
all-mpnet-base-v2,v4,A1.1,WHI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.580751,0.564781,0.533796,GC-ANA|GC-ECZEMA-INFECT|GC-FPIES,0.01597,Y
all-mpnet-base-v2,v4,A1.1,BLA_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.584185,0.561978,0.54,GC-ANA|GC-ECZEMA-INFECT|GC-FPIES,0.022207,Y
all-mpnet-base-v2,v4,A3.3,WHI_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-PCN-DELABEL,0.582553,0.546394,0.49307,GC-PCN-DELABEL|GC-SCAR|GC-DRUG-IMMEDIATE,0.036159,PARTIAL
all-mpnet-base-v2,v4,A3.3,BLA_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-PCN-DELABEL,0.564227,0.545808,0.485362,GC-PCN-DELABEL|GC-SCAR|GC-DRUG-IMMEDIATE,0.018419,PARTIAL
all-mpnet-base-v2,v4,A6.E,WHI_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-ANA,0.612042,0.564058,0.555448,GC-ANA|GC-IMMUNE-DYSREG|GC-ECZEMA-INFECT,0.047985,N
all-mpnet-base-v2,v4,A6.E,BLA_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-ANA,0.61178,0.54933,0.54711,GC-ANA|GC-IMMUNE-DYSREG|GC-ECZEMA-INFECT,0.062449,N
all-mpnet-base-v2,v4,B2.3,WHI_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-SCID,0.493111,0.430676,0.39513,GC-SCID|GC-AB-DEF|GC-IMMUNIZE-ROUTINE,0.062434,Y
all-mpnet-base-v2,v4,B2.3,BLA_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-SCID,0.499675,0.418233,0.393119,GC-SCID|GC-AB-DEF|GC-IMMUNIZE-ROUTINE,0.081442,Y
all-mpnet-base-v2,v4,B4.2,WHI_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.735149,0.579171,0.545199,GC-COMP-CLASSICAL|GC-CGD|GC-COMP-TERMINAL,0.155978,Y
