retriever,indexing_variant,corpus_version,base_vignette_id,demographic_variant_id,difficulty_tier,gold_checklist_id,primary_distractor_id,selected_checklist_id,rank1_score,rank2_score,rank3_score,retrieval_top3_ids,rank1_minus_rank2_margin,retrieval_correct
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,WHI_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.589428,0.567248,0.532684,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.022181,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,WHI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.580751,0.564781,0.533796,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.01597,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,BLA_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.592405,0.563906,0.536721,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.0285,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,BLA_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.584185,0.561978,0.54,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.022207,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,HIS_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.586847,0.547447,0.529997,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.039401,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,HIS_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.581037,0.548297,0.531641,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.03274,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,ASI_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.584235,0.558203,0.534861,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.026032,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,ASI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.577384,0.556697,0.535524,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.020687,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.2,WHI_F,standard,GC-ANA,GC-URT-ACUTE,GC-ECZEMA-INFECT,0.581499,0.561388,0.553558,GC-ECZEMA-INFECT | GC-IGE-FOOD | GC-OAS,0.020111,N
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.2,WHI_M,standard,GC-ANA,GC-URT-ACUTE,GC-ECZEMA-INFECT,0.574033,0.563525,0.559655,GC-ECZEMA-INFECT | GC-IGE-FOOD | GC-OAS,0.010508,N
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.2,BLA_F,standard,GC-ANA,GC-URT-ACUTE,GC-ECZEMA-INFECT,0.5749,0.557955,0.548063,GC-ECZEMA-INFECT | GC-IGE-FOOD | GC-OAS,0.016945,N
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.2,BLA_M,standard,GC-ANA,GC-URT-ACUTE,GC-ECZEMA-INFECT,0.568637,0.560075,0.556134,GC-ECZEMA-INFECT | GC-IGE-FOOD | GC-OAS,0.008562,N
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.2,HIS_F,standard,GC-ANA,GC-URT-ACUTE,GC-IGE-FOOD,0.567387,0.564597,0.559989,GC-IGE-FOOD | GC-ECZEMA-INFECT | GC-OAS,0.00279,N
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.2,HIS_M,standard,GC-ANA,GC-URT-ACUTE,GC-IGE-FOOD,0.57078,0.568412,0.558772,GC-IGE-FOOD | GC-OAS | GC-ECZEMA-INFECT,0.002368,N
